	6020.SRR12919063	6052.SRR12919052	6049.SRR12919053	6008.SRR12919096	6010.SRR12919077	6011.SRR12919095	5051.SRR12919114	5039.SRR12919102	5003.SRR12919090	5017.SRR12919046	6021.SRR12919069	5026.SRR12919043	6040.SRR12919057	6002.SRR12919143	5048.SRR12919039	6035.SRR12919058	5050.SRR12919079	5010.SRR12919134	6047.SRR12919059	6013.SRR12919075	5052.SRR12919038	6043.SRR12919056	5028.SRR12919145	6026.SRR12919118	6012.SRR12919076	6050.SRR12919065	5012.SRR12919087	6014.SRR12919094	6023.SRR12919119	6042.SRR12919135	6005.SRR12919141	6003.SRR12919142	5021.SRR12919107	6018.SRR12919071	5014.SRR12919148	6016.SRR12919064	5038.SRR12919041	6038.SRR12919136	5019.SRR12919108	6027.SRR12919067	6044.SRR12919112	6037.SRR12919137	6024.SRR12919092	5023.SRR12919146	5047.SRR12919125	5015.SRR12919086	6033.SRR12919060	6029.SRR12919062	5032.SRR12919083	5022.SRR12919044	5030.SRR12919120	5002.SRR12919091	5035.SRR12919105	5016.SRR12919147	5040.SRR12919101	5033.SRR12919144	6019.SRR12919103	5020.SRR12919045	5004.SRR12919051	5044.SRR12919040	5042.SRR12919036	5006.SRR12919049	5029.SRR12919121	5011.SRR12919109	6051.SRR12919074	5024.SRR12919106	5009.SRR12919047	5036.SRR12919104	6004.SRR12919097	5034.SRR12919082	5008.SRR12919088	6039.SRR12919066	6030.SRR12919061	5049.SRR12919098	5018.SRR12919085	6028.SRR12919117	6046.SRR12919054	5037.SRR12919037	5041.SRR12919100	6006.SRR12919140	6041.SRR12919113	6031.SRR12919116	6036.SRR12919138	6048.SRR12919111	6015.SRR12919072	6025.SRR12919081	5013.SRR12919034	6045.SRR12919055	5031.SRR12919042	6034.SRR12919115	5043.SRR12919099	5007.SRR12919089	5005.SRR12919050	6001.SRR12919078	5025.SRR12919084	5046.SRR12919080	6032.SRR12919070	6022.SRR12919068	5001.SRR12919073
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium																																												9																																																							
Bacteria;Actinobacteriota;Actinobacteria				1																	40																																												2													5													4								
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae																																																																																												9							
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces			4									91								47	7													200					10				10	10											5										323	54			21	56		119			4											3						55	25						
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium					52							68		8			4	70							104				85															10	21																				3																					37	10												
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus				5	58			57			2	189	4	33			19	117		16	15	21			63				763					412		9				16			47	40	356						6				11		692								26	41					40							57								2579						186		108					
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella																																																					3																																														
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum					3							64								20				5										19																																				20									10													18							
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium																																																																												33																		46					
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	6	13	28		105		145		122	134		11	595	16				223	485	79					113			20	113		19	18		139	9				138	3	36		224	178	18	108				34					197	286	12			18	63			164		42						54		25	103		31			57			22		6	76		26	5		18		39		97	18	139		1486
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales																																																																																				6															
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae												158																																								19																																		119													
